"","nCells","Value","Name","n_clus","clustering","level"
"191","1000",0.832637358557629,"UMAP_KMEANS-00",40,"UMAP_KMEANS",0
"192","1000",0.799162754793525,"tSNE_KMEANS-00",40,"tSNE_KMEANS",0
"193","1000",0.976637908181069,"sc3-05",40,"sc3",5
"194","1000",0.832637358557629,"UMAP_KMEANS-05",40,"UMAP_KMEANS",5
"195","1000",0.825894893557573,"tSNE_KMEANS-05",38,"tSNE_KMEANS",5
"196","1000",0.976637908181069,"sc3-10",40,"sc3",10
"197","1000",0.832637358557629,"UMAP_KMEANS-10",40,"UMAP_KMEANS",10
"198","1000",0.837824197909113,"tSNE_KMEANS-10",37,"tSNE_KMEANS",10
"199","1000",0.976637908181069,"sc3-15",40,"sc3",15
"200","1000",0.832637358557629,"UMAP_KMEANS-15",40,"UMAP_KMEANS",15
"201","1000",0.848472271148618,"tSNE_KMEANS-15",36,"tSNE_KMEANS",15
"202","1000",0.976637908181069,"sc3-20",40,"sc3",20
"203","1000",0.832637358557629,"UMAP_KMEANS-20",40,"UMAP_KMEANS",20
"204","1000",0.858418916078545,"tSNE_KMEANS-20",35,"tSNE_KMEANS",20
"205","1000",0.976637908181069,"sc3-25",40,"sc3",25
"206","1000",0.841405814723329,"UMAP_KMEANS-25",39,"UMAP_KMEANS",25
"207","1000",0.858418916078545,"tSNE_KMEANS-25",35,"tSNE_KMEANS",25
"208","1000",0.976637908181069,"sc3-30",40,"sc3",30
"209","1000",0.841405814723329,"UMAP_KMEANS-30",39,"UMAP_KMEANS",30
"210","1000",0.874473107440199,"tSNE_KMEANS-30",33,"tSNE_KMEANS",30
"211","1000",0.976637908181069,"sc3-35",40,"sc3",35
"212","1000",0.841405814723329,"UMAP_KMEANS-35",39,"UMAP_KMEANS",35
"213","1000",0.881509589651268,"tSNE_KMEANS-35",32,"tSNE_KMEANS",35
"214","1000",0.976637908181069,"sc3-40",40,"sc3",40
"215","1000",0.849111822943442,"UMAP_KMEANS-40",38,"UMAP_KMEANS",40
"216","1000",0.881509589651268,"tSNE_KMEANS-40",32,"tSNE_KMEANS",40
"217","1000",0.976637908181069,"sc3-45",40,"sc3",45
"218","1000",0.862367323757904,"UMAP_KMEANS-45",36,"UMAP_KMEANS",45
"219","1000",0.881509589651268,"tSNE_KMEANS-45",32,"tSNE_KMEANS",45
"220","1000",0.976637908181069,"sc3-50",40,"sc3",50
"221","1000",0.86846648331787,"UMAP_KMEANS-50",35,"UMAP_KMEANS",50
"222","1000",0.881509589651268,"tSNE_KMEANS-50",32,"tSNE_KMEANS",50
"223","1000",0.976637908181069,"sc3-55",40,"sc3",55
"224","1000",0.86846648331787,"UMAP_KMEANS-55",35,"UMAP_KMEANS",55
"225","1000",0.895337031993753,"tSNE_KMEANS-55",30,"tSNE_KMEANS",55
"226","1000",0.976637908181069,"sc3-60",40,"sc3",60
"227","1000",0.874103725696539,"UMAP_KMEANS-60",34,"UMAP_KMEANS",60
"228","1000",0.895337031993753,"tSNE_KMEANS-60",30,"tSNE_KMEANS",60
"229","1000",0.976637908181069,"sc3-65",40,"sc3",65
"230","1000",0.880283594174947,"UMAP_KMEANS-65",33,"UMAP_KMEANS",65
"231","1000",0.901165102352866,"tSNE_KMEANS-65",29,"tSNE_KMEANS",65
"232","1000",0.976637908181069,"sc3-70",40,"sc3",70
"233","1000",0.880283594174947,"UMAP_KMEANS-70",33,"UMAP_KMEANS",70
"234","1000",0.906744210609382,"tSNE_KMEANS-70",28,"tSNE_KMEANS",70
"235","1000",0.976637908181069,"sc3-75",40,"sc3",75
"236","1000",0.885221042934104,"UMAP_KMEANS-75",32,"UMAP_KMEANS",75
"237","1000",0.91252314012374,"tSNE_KMEANS-75",27,"tSNE_KMEANS",75
"238","1000",0.976637908181069,"sc3-80",40,"sc3",80
"239","1000",0.8955541217147,"UMAP_KMEANS-80",30,"UMAP_KMEANS",80
"240","1000",0.91252314012374,"tSNE_KMEANS-80",27,"tSNE_KMEANS",80
"241","1000",0.976637908181069,"sc3-85",40,"sc3",85
"242","1000",0.901514904041334,"UMAP_KMEANS-85",29,"UMAP_KMEANS",85
"243","1000",0.91252314012374,"tSNE_KMEANS-85",27,"tSNE_KMEANS",85
"244","1000",0.980009350225861,"sc3-90",39,"sc3",90
"245","1000",0.907320805463304,"UMAP_KMEANS-90",27,"UMAP_KMEANS",90
"246","1000",0.91252314012374,"tSNE_KMEANS-90",27,"tSNE_KMEANS",90
"247","1000",0.986299533320981,"sc3-95",36,"sc3",95
"248","1000",0.907320805463304,"UMAP_KMEANS-95",27,"UMAP_KMEANS",95
"249","1000",0.91252314012374,"tSNE_KMEANS-95",27,"tSNE_KMEANS",95
"250","1000",0.991034329020517,"sc3-100",31,"sc3",100
"251","1000",0.907320805463304,"UMAP_KMEANS-100",27,"UMAP_KMEANS",100
"252","1000",0.91252314012374,"tSNE_KMEANS-100",27,"tSNE_KMEANS",100
"253","2000",0.985331527298595,"sc3-00",40,"sc3",0
"254","2000",0.714841388016124,"UMAP_KMEANS-00",40,"UMAP_KMEANS",0
"255","2000",0.816543896634387,"tSNE_KMEANS-00",40,"tSNE_KMEANS",0
"256","2000",0.985331527298595,"sc3-05",40,"sc3",5
"257","2000",0.714841388016124,"UMAP_KMEANS-05",40,"UMAP_KMEANS",5
"258","2000",0.841969115243424,"tSNE_KMEANS-05",38,"tSNE_KMEANS",5
"259","2000",0.985331527298595,"sc3-10",40,"sc3",10
"260","2000",0.714841388016124,"UMAP_KMEANS-10",40,"UMAP_KMEANS",10
"261","2000",0.853759720254564,"tSNE_KMEANS-10",37,"tSNE_KMEANS",10
"262","2000",0.985331527298595,"sc3-15",40,"sc3",15
"263","2000",0.724807541519646,"UMAP_KMEANS-15",39,"UMAP_KMEANS",15
"264","2000",0.853759720254564,"tSNE_KMEANS-15",37,"tSNE_KMEANS",15
"265","2000",0.985331527298595,"sc3-20",40,"sc3",20
"266","2000",0.724807541519646,"UMAP_KMEANS-20",39,"UMAP_KMEANS",20
"267","2000",0.862165991568182,"tSNE_KMEANS-20",36,"tSNE_KMEANS",20
"268","2000",0.985331527298595,"sc3-25",40,"sc3",25
"269","2000",0.733169966621879,"UMAP_KMEANS-25",38,"UMAP_KMEANS",25
"270","2000",0.870223587260467,"tSNE_KMEANS-25",35,"tSNE_KMEANS",25
"271","2000",0.985331527298595,"sc3-30",40,"sc3",30
"272","2000",0.7404813918287,"UMAP_KMEANS-30",37,"UMAP_KMEANS",30
"273","2000",0.870223587260467,"tSNE_KMEANS-30",35,"tSNE_KMEANS",30
"274","2000",0.985331527298595,"sc3-35",40,"sc3",35
"275","2000",0.756211888264405,"UMAP_KMEANS-35",35,"UMAP_KMEANS",35
"276","2000",0.870223587260467,"tSNE_KMEANS-35",35,"tSNE_KMEANS",35
"277","2000",0.985331527298595,"sc3-40",40,"sc3",40
"278","2000",0.756211888264405,"UMAP_KMEANS-40",35,"UMAP_KMEANS",40
"279","2000",0.876328725476461,"tSNE_KMEANS-40",34,"tSNE_KMEANS",40
"280","2000",0.985331527298595,"sc3-45",40,"sc3",45
"281","2000",0.762026752382253,"UMAP_KMEANS-45",34,"UMAP_KMEANS",45
"282","2000",0.884891177383099,"tSNE_KMEANS-45",33,"tSNE_KMEANS",45
"283","2000",0.985331527298595,"sc3-50",40,"sc3",50
"284","2000",0.772031123975172,"UMAP_KMEANS-50",33,"UMAP_KMEANS",50
"285","2000",0.884891177383099,"tSNE_KMEANS-50",33,"tSNE_KMEANS",50
"286","2000",0.985331527298595,"sc3-55",40,"sc3",55
"287","2000",0.784061879688503,"UMAP_KMEANS-55",31,"UMAP_KMEANS",55
"288","2000",0.884891177383099,"tSNE_KMEANS-55",33,"tSNE_KMEANS",55
"289","2000",0.985331527298595,"sc3-60",40,"sc3",60
"290","2000",0.78996637548552,"UMAP_KMEANS-60",30,"UMAP_KMEANS",60
"291","2000",0.884891177383099,"tSNE_KMEANS-60",33,"tSNE_KMEANS",60
"292","2000",0.985331527298595,"sc3-65",40,"sc3",65
"293","2000",0.801824317822293,"UMAP_KMEANS-65",28,"UMAP_KMEANS",65
"294","2000",0.884891177383099,"tSNE_KMEANS-65",33,"tSNE_KMEANS",65
"295","2000",0.985331527298595,"sc3-70",40,"sc3",70
"296","2000",0.801824317822293,"UMAP_KMEANS-70",28,"UMAP_KMEANS",70
"297","2000",0.894181280202004,"tSNE_KMEANS-70",31,"tSNE_KMEANS",70
"298","2000",0.985331527298595,"sc3-75",40,"sc3",75
"299","2000",0.801824317822293,"UMAP_KMEANS-75",28,"UMAP_KMEANS",75
"300","2000",0.899919034536374,"tSNE_KMEANS-75",30,"tSNE_KMEANS",75
"301","2000",0.985331527298595,"sc3-80",40,"sc3",80
"302","2000",0.809121846415346,"UMAP_KMEANS-80",26,"UMAP_KMEANS",80
"303","2000",0.899919034536374,"tSNE_KMEANS-80",30,"tSNE_KMEANS",80
"304","2000",0.985331527298595,"sc3-85",40,"sc3",85
"305","2000",0.809121846415346,"UMAP_KMEANS-85",26,"UMAP_KMEANS",85
"306","2000",0.907013049912637,"tSNE_KMEANS-85",28,"tSNE_KMEANS",85
"307","2000",0.985331527298595,"sc3-90",40,"sc3",90
"308","2000",0.811607206624497,"UMAP_KMEANS-90",25,"UMAP_KMEANS",90
"309","2000",0.911477207164349,"tSNE_KMEANS-90",27,"tSNE_KMEANS",90
"310","2000",0.988081395354861,"sc3-95",38,"sc3",95
"311","2000",0.816366354723187,"UMAP_KMEANS-95",23,"UMAP_KMEANS",95
"312","2000",0.911477207164349,"tSNE_KMEANS-95",27,"tSNE_KMEANS",95
"313","2000",0.993951063958347,"sc3-100",31,"sc3",100
"314","2000",0.816366354723187,"UMAP_KMEANS-100",23,"UMAP_KMEANS",100
"315","2000",0.911477207164349,"tSNE_KMEANS-100",27,"tSNE_KMEANS",100
"316","5000",0.99382217035811,"sc3-00",40,"sc3",0
"317","5000",0.672373434893105,"UMAP_KMEANS-00",40,"UMAP_KMEANS",0
"318","5000",0.844032371265819,"tSNE_KMEANS-00",40,"tSNE_KMEANS",0
"319","5000",0.99382217035811,"sc3-05",40,"sc3",5
"320","5000",0.684113640612953,"UMAP_KMEANS-05",39,"UMAP_KMEANS",5
"321","5000",0.854534379666575,"tSNE_KMEANS-05",39,"tSNE_KMEANS",5
"322","5000",0.99382217035811,"sc3-10",40,"sc3",10
"323","5000",0.694250178698748,"UMAP_KMEANS-10",38,"UMAP_KMEANS",10
"324","5000",0.854534379666575,"tSNE_KMEANS-10",39,"tSNE_KMEANS",10
"325","5000",0.99382217035811,"sc3-15",40,"sc3",15
"326","5000",0.694250178698748,"UMAP_KMEANS-15",38,"UMAP_KMEANS",15
"327","5000",0.86654308946937,"tSNE_KMEANS-15",38,"tSNE_KMEANS",15
"328","5000",0.99382217035811,"sc3-20",40,"sc3",20
"329","5000",0.694250178698748,"UMAP_KMEANS-20",38,"UMAP_KMEANS",20
"330","5000",0.875567489928444,"tSNE_KMEANS-20",37,"tSNE_KMEANS",20
"331","5000",0.99382217035811,"sc3-25",40,"sc3",25
"332","5000",0.713616655659429,"UMAP_KMEANS-25",36,"UMAP_KMEANS",25
"333","5000",0.875567489928444,"tSNE_KMEANS-25",37,"tSNE_KMEANS",25
"334","5000",0.99382217035811,"sc3-30",40,"sc3",30
"335","5000",0.721770752971192,"UMAP_KMEANS-30",35,"UMAP_KMEANS",30
"336","5000",0.875567489928444,"tSNE_KMEANS-30",37,"tSNE_KMEANS",30
"337","5000",0.99382217035811,"sc3-35",40,"sc3",35
"338","5000",0.721770752971192,"UMAP_KMEANS-35",35,"UMAP_KMEANS",35
"339","5000",0.883592929243326,"tSNE_KMEANS-35",36,"tSNE_KMEANS",35
"340","5000",0.99382217035811,"sc3-40",40,"sc3",40
"341","5000",0.735907705239248,"UMAP_KMEANS-40",33,"UMAP_KMEANS",40
"342","5000",0.883592929243326,"tSNE_KMEANS-40",36,"tSNE_KMEANS",40
"343","5000",0.99382217035811,"sc3-45",40,"sc3",45
"344","5000",0.743310508725731,"UMAP_KMEANS-45",32,"UMAP_KMEANS",45
"345","5000",0.883592929243326,"tSNE_KMEANS-45",36,"tSNE_KMEANS",45
"346","5000",0.99382217035811,"sc3-50",40,"sc3",50
"347","5000",0.743310508725731,"UMAP_KMEANS-50",32,"UMAP_KMEANS",50
"348","5000",0.897518583146771,"tSNE_KMEANS-50",34,"tSNE_KMEANS",50
"349","5000",0.99382217035811,"sc3-55",40,"sc3",55
"350","5000",0.748518921269023,"UMAP_KMEANS-55",31,"UMAP_KMEANS",55
"351","5000",0.897518583146771,"tSNE_KMEANS-55",34,"tSNE_KMEANS",55
"352","5000",0.99382217035811,"sc3-60",40,"sc3",60
"353","5000",0.748518921269023,"UMAP_KMEANS-60",31,"UMAP_KMEANS",60
"354","5000",0.911241303726002,"tSNE_KMEANS-60",32,"tSNE_KMEANS",60
"355","5000",0.99382217035811,"sc3-65",40,"sc3",65
"356","5000",0.754082871353713,"UMAP_KMEANS-65",30,"UMAP_KMEANS",65
"357","5000",0.911241303726002,"tSNE_KMEANS-65",32,"tSNE_KMEANS",65
"358","5000",0.99382217035811,"sc3-70",40,"sc3",70
"359","5000",0.754082871353713,"UMAP_KMEANS-70",30,"UMAP_KMEANS",70
"360","5000",0.922225747237526,"tSNE_KMEANS-70",30,"tSNE_KMEANS",70
"361","5000",0.99382217035811,"sc3-75",40,"sc3",75
"362","5000",0.754082871353713,"UMAP_KMEANS-75",30,"UMAP_KMEANS",75
"363","5000",0.927095851727342,"tSNE_KMEANS-75",29,"tSNE_KMEANS",75
"364","5000",0.99382217035811,"sc3-80",40,"sc3",80
"365","5000",0.758699635153947,"UMAP_KMEANS-80",29,"UMAP_KMEANS",80
"366","5000",0.934586724477308,"tSNE_KMEANS-80",28,"tSNE_KMEANS",80
"367","5000",0.99382217035811,"sc3-85",40,"sc3",85
"368","5000",0.765972006917921,"UMAP_KMEANS-85",28,"UMAP_KMEANS",85
"369","5000",0.934586724477308,"tSNE_KMEANS-85",28,"tSNE_KMEANS",85
"370","5000",0.99382217035811,"sc3-90",40,"sc3",90
"371","5000",0.773292064393447,"UMAP_KMEANS-90",26,"UMAP_KMEANS",90
"372","5000",0.934586724477308,"tSNE_KMEANS-90",28,"tSNE_KMEANS",90
"373","5000",0.99382217035811,"sc3-95",40,"sc3",95
"374","5000",0.781112807535798,"UMAP_KMEANS-95",24,"UMAP_KMEANS",95
"375","5000",0.934586724477308,"tSNE_KMEANS-95",28,"tSNE_KMEANS",95
"376","5000",0.997591591630153,"sc3-100",31,"sc3",100
"377","5000",0.781112807535798,"UMAP_KMEANS-100",24,"UMAP_KMEANS",100
"378","5000",0.934586724477308,"tSNE_KMEANS-100",28,"tSNE_KMEANS",100
